#72469 DNR Denver Observations at 12Z 09 Feb 2019
#   hPa  ,    m   ,    C   ,    C   ,    %   ,  g/kg   ,  deg   , knot  ,    K   ,    K   ,    K 
   PRES  ,  HGHT  ,  TEMP  ,  DWPT  ,  RELH  ,  MIXR   , DRCT   , SKNT  ,  THTA  ,  THTE  ,  THTV
 1000.0  ,   217  ,        ,        ,        ,         ,        ,       ,        ,        ,      
  925.0  ,   832  ,        ,        ,        ,         ,        ,       ,        ,        ,      
  850.0  ,  1486  ,        ,        ,        ,         ,        ,       ,        ,        ,      
  836.0  ,  1611  , -13.3  , -14.9  ,    88  ,  1.45   ,  100   ,    4  , 273.5  , 277.7  , 273.7
  835.0  ,  1620  ,  -9.1  , -10.7  ,    88  ,  2.04   ,  106   ,    5  , 278.0  , 283.9  , 278.4
  834.0  ,  1630  ,  -8.1  , -10.0  ,    86  ,  2.15   ,  112   ,    5  , 279.2  , 285.4  , 279.5
  832.0  ,  1648  ,  -1.5  ,  -8.5  ,    59  ,  2.43   ,  124   ,    7  , 286.3  , 293.6  , 286.7
  831.0  ,  1658  ,   0.0  , -10.0  ,    47  ,  2.16   ,  130   ,    8  , 288.0  , 294.5  , 288.4
  826.0  ,  1706  ,   0.8  , -16.2  ,    27  ,  1.31   ,  160   ,   11  , 289.3  , 293.4  , 289.6
  813.5  ,  1829  ,   2.3  , -18.4  ,    20  ,  1.11   ,  235   ,   20  , 292.1  , 295.7  , 292.3
  809.0  ,  1874  ,   2.8  , -19.2  ,    18  ,  1.04   ,  236   ,   20  , 293.2  , 296.5  , 293.4
  783.3  ,  2134  ,   1.5  , -20.9  ,    17  ,  0.93   ,  245   ,   20  , 294.5  , 297.5  , 294.7
  754.2  ,  2438  ,  -0.0  , -22.9  ,    16  ,  0.81   ,  255   ,   28  , 296.1  , 298.7  , 296.2
  749.0  ,  2494  ,  -0.3  , -23.3  ,    16  ,  0.79   ,  254   ,   28  , 296.3  , 298.9  , 296.5
  725.9  ,  2743  ,  -2.3  , -24.4  ,    17  ,  0.73   ,  250   ,   29  , 296.8  , 299.2  , 296.9
  700.0  ,  3031  ,  -4.7  , -25.7  ,    18  ,  0.68   ,  250   ,   30  , 297.2  , 299.5  , 297.4
  661.0  ,  3478  ,  -8.7  , -26.7  ,    22  ,  0.66   ,  246   ,   36  , 297.7  , 299.9  , 297.8
  645.7  ,  3658  ,  -9.2  , -29.6  ,    17  ,  0.51   ,  245   ,   39  , 299.1  , 300.9  , 299.2
  630.0  ,  3848  ,  -9.7  , -32.7  ,    13  ,  0.39   ,  245   ,   44  , 300.6  , 302.0  , 300.7
  620.6  ,  3962  , -10.7  , -32.9  ,    14  ,  0.39   ,  245   ,   47  , 300.8  , 302.2  , 300.9
  596.1  ,  4267  , -13.3  , -33.5  ,    17  ,  0.38   ,  245   ,   50  , 301.2  , 302.6  , 301.3
  550.0  ,  4877  , -18.6  , -34.7  ,    23  ,  0.37   ,  250   ,   51  , 302.0  , 303.3  , 302.1
  549.0  ,  4890  , -18.7  , -34.7  ,    23  ,  0.37   ,  250   ,   51  , 302.0  , 303.3  , 302.1
  500.0  ,  5580  , -22.9  , -43.9  ,    13  ,  0.16   ,  245   ,   62  , 305.1  , 305.6  , 305.1
  472.0  ,  6001  , -25.1  , -52.1  ,     6  ,  0.07   ,  245   ,   65  , 307.4  , 307.7  , 307.4
  465.8  ,  6096  , -25.9  , -52.4  ,     6  ,  0.06   ,  245   ,   66  , 307.5  , 307.8  , 307.5
  400.0  ,  7180  , -35.5  , -55.5  ,    11  ,  0.05   ,  245   ,   69  , 308.8  , 309.0  , 308.8
  374.9  ,  7620  , -39.3  , -58.0  ,    12  ,  0.04   ,  245   ,   72  , 309.5  , 309.7  , 309.5
  329.0  ,  8506  , -46.9  , -62.9  ,    14  ,  0.02   ,  245   ,   74  , 310.8  , 310.9  , 310.8
  304.0  ,  9024  , -50.9  , -60.9  ,    29  ,  0.03   ,  245   ,   75  , 312.3  , 312.5  , 312.3
  300.0  ,  9110  , -51.3  , -61.3  ,    29  ,  0.03   ,  245   ,   75  , 312.9  , 313.1  , 312.9
  298.4  ,  9144  , -51.5  , -61.6  ,    29  ,  0.03   ,  245   ,   76  , 313.1  , 313.3  , 313.1
  258.8  , 10058  , -56.6  , -69.9  ,    17  ,  0.01   ,  250   ,   83  , 318.6  , 318.6  , 318.6
  250.0  , 10280  , -57.9  , -71.9  ,    15  ,  0.01   ,  250   ,   81  , 319.9  , 319.9  , 319.9
  243.0  , 10458  , -58.9  , -72.9  ,    15  ,  0.01   ,  250   ,   81  , 321.0  , 321.0  , 321.0
  234.9  , 10668  , -59.4  , -73.4  ,    15  ,  0.01   ,  250   ,   81  , 323.4  , 323.4  , 323.4
  204.0  , 11547  , -61.3  , -75.3  ,    14  ,  0.01   ,  245   ,   74  , 333.6  , 333.7  , 333.6
